split,label,example_idx,turn,feature_30868,feature_11679,feature_9008,feature_31037,feature_20574,feature_32154,feature_22275,feature_14298,feature_27197,feature_6740
pass,1,32,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030601024627685547
pass,1,33,1,0.0,0.009469636715948582,0.005419240333139896,0.0,0.0,0.0,0.006056663114577532,0.0,0.0,0.01086991373449564
pass,1,34,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009488164447247982
pass,1,35,1,0.0,0.0073988307267427444,0.008935989812016487,0.0,0.01547169964760542,0.004366797395050526,0.01866743713617325,0.0,0.004681953229010105,0.03714192658662796
pass,1,36,1,0.0,0.0,0.0,0.0,0.0,0.0,0.00853392481803894,0.0,0.0,0.008445434272289276
pass,1,37,1,0.0,0.0,0.003029485931620002,0.0,0.0032969277817755938,0.0032368004322052,0.022390663623809814,0.0,0.013178151100873947,0.029366303235292435
pass,1,38,1,0.0,0.0,0.002865178044885397,0.0,0.0031211497262120247,0.003061248455196619,0.006342220585793257,0.0,0.00634432677179575,0.028308812528848648
pass,1,39,1,0.0,0.0,0.00849893782287836,0.0,0.009230300784111023,0.009045136161148548,0.0,0.0,0.0,0.017803672701120377
pass,1,40,1,0.0,0.0,0.003834477160125971,0.005643027368932962,0.004177080001682043,0.004090031608939171,0.0,0.0,0.0,0.008045068010687828
pass,1,41,1,0.0,0.0,0.004811335355043411,0.007985509000718594,0.00525399437174201,0.005146953742951155,0.005396234802901745,0.0,0.0,0.01011605467647314
pass,1,42,1,0.0,0.0,0.0,0.0,0.0,0.0,0.011501893401145935,0.0,0.0,0.023253433406352997
pass,1,43,1,0.0,0.0,0.0,0.0,0.0,0.0,0.021950820460915565,0.0,0.0,0.03167246654629707
pass,1,44,1,0.0,0.0,0.0,0.0,0.0,0.0,0.008518687449395657,0.0,0.009301240555942059,0.008807381615042686
pass,1,45,1,0.0,0.0,0.0,0.0,0.0,0.0,0.008948796428740025,0.0,0.023968147113919258,0.01997109316289425
pass,1,46,1,0.0,0.0,0.019121911376714706,0.0,0.009651180356740952,0.009480164386332035,0.022598901763558388,0.0,0.0,0.04733198508620262
pass,1,47,1,0.0,0.026566602289676666,0.016910238191485405,0.0,0.00883763562887907,0.008665608242154121,0.02357056923210621,0.0,0.0,0.04307590797543526
pass,1,48,1,0.0,0.0,0.006092574447393417,0.0,0.003211025847122073,0.003149399533867836,0.003638925962150097,0.0,0.0,0.015927216038107872
pass,1,49,1,0.0,0.0,0.015007158741354942,0.0,0.016375133767724037,0.01601242460310459,0.0,0.0,0.0,0.049081914126873016
pass,1,50,1,0.0,0.006247051991522312,0.0032204948365688324,0.0,0.006865260191261768,0.0034380555152893066,0.007973913103342056,0.0,0.0,0.038121599704027176
pass,1,51,1,0.0,0.0,0.0,0.0,0.009869896806776524,0.0,0.0193781778216362,0.0,0.0,0.05746602267026901
